user_id,article_id,article_rating
239,2371,7
1193,2371,7
591,77,6
376,1702,10
591,563,4
591,1391,9
1820,1014,1
591,1868,7
591,1082,5
608,2371,2
239,834,8
591,1281,4
2397,460,2
591,864,9
591,1580,10
1148,1432,5
1610,1212,10
591,460,5
17,792,1
391,1986,3
2520,1391,3
591,1702,1
802,2091,10
591,745,10
591,2266,7
608,745,9
912,1082,5
591,1082,9
2430,1405,4
1330,2029,8
2343,1281,9
1854,792,8
591,1053,6
2397,426,7
591,617,3
580,1082,1
591,1333,3
1484,1468,6
649,2337,5
1967,2268,4
1627,1458,10
608,1391,7
591,377,4
591,1490,9
591,2376,2
608,792,7
2227,912,9
591,840,8
1612,240,4
446,2371,5
2430,2543,7
492,660,4
2148,214,3
1540,2371,2
591,1391,1
1553,1610,4
1425,1082,3
2445,225,4
239,1082,8
591,1498,9
315,2565,9
591,1391,2
2226,426,6
591,1617,9
1895,480,3
2397,649,2
475,876,4
821,2371,1
608,1714,6
591,1726,6
315,17,10
1380,1198,3
591,1391,2
1858,883,2
608,2286,1
534,1391,10
591,833,2
591,983,7
2474,819,1
2106,1468,5
2106,745,1
591,152,6
591,516,2
591,323,1
206,2324,2
591,1391,6
2397,1645,7
2459,2666,3
239,816,10
973,323,8
591,2411,1
239,1082,5
1793,1082,5
591,1082,6
591,248,3
591,1082,6
2303,2578,1
2311,1082,9
608,1391,8
814,2068,6
510,2268,8
1928,2573,9
591,1508,4
591,1082,5
873,2337,2
689,1074,3
1498,169,9
591,1391,5
328,641,1
591,1391,4
591,2241,3
2227,739,1
1336,2268,6
721,2677,4
1540,1311,9
239,1281,4
591,1457,3
239,865,3
591,1391,9
2106,803,7
591,693,10
902,58,4
591,122,1
1814,1391,6
591,1391,6
329,1715,2
1777,1346,10
847,1701,8
990,1391,6
608,1391,7
591,2497,6
1216,601,1
591,1391,6
1151,1391,2
1540,1391,5
1703,792,1
1540,1851,8
382,1715,6
2318,2120,3
2108,2212,1
591,1508,3
2269,331,5
591,2413,2
2047,2565,8
608,1391,4
608,628,4
1071,676,5
873,1246,7
591,1391,3
591,2091,9
239,1391,2
1378,1082,9
433,549,4
608,175,4
1436,2590,6
1723,1391,9
2024,325,10
1330,2666,5
591,1466,7
2073,2661,8
1947,816,7
1588,1942,5
1403,1632,6
143,1106,2
584,2371,3
591,1391,7
591,2644,6
2090,792,9
1216,1367,4
608,1391,7
608,816,9
65,2286,2
790,803,4
239,1565,7
591,1295,7
591,2116,4
1540,85,1
591,2403,5
721,300,7
2219,1281,3
2227,816,2
2023,1391,4
591,1391,7
873,1136,10
608,1391,8
591,1632,2
315,426,4
2430,1298,7
591,480,5
2106,1082,2
591,1210,3
591,792,8
867,2219,1
591,2268,5
591,2590,1
2311,1914,6
591,1902,7
591,363,8
914,2371,6
2452,1297,2
1330,1391,5
608,1868,2
608,1082,8
608,2397,10
591,2490,8
591,792,2
591,1082,1
2227,1391,1
591,985,7
591,2661,10
591,649,5
591,368,2
315,1281,3
2397,2289,1
591,240,3
1179,2337,9
591,1082,5
239,2488,8
591,1018,5
2397,1391,2
1359,2372,3
591,424,4
591,214,1
294,1632,7
2237,2268,4
591,1814,3
2097,816,2
591,1391,9
239,1391,3
2227,1391,3
591,1281,5
591,2268,2
591,2268,5
2106,1106,4
608,2171,10
591,1850,1
1540,1868,7
591,300,10
591,2073,6
591,2573,9
1251,1508,1
591,855,7
1409,1772,2
619,1585,8
591,1281,6
591,1235,10
591,2185,9
1940,1314,4
1066,1632,9
591,1082,3
2108,1391,3
591,1508,2
591,2268,4
104,2268,1
591,1391,9
1501,840,10
591,715,7
591,426,1
1938,2371,10
591,1391,3
591,1391,4
591,660,2
2106,300,4
1969,1391,4
873,687,7
591,2432,2
591,1082,2
1107,884,9
591,2624,4
608,21,3
2174,2553,10
2090,992,3
1462,2604,4
906,1082,3
591,2635,2
1658,460,2
591,2371,9
239,1205,10
2397,88,9
1100,876,10
2106,2195,8
591,2378,10
591,1754,5
608,540,1
850,1082,2
591,470,3
2378,1346,2
591,1391,7
1160,792,7
591,870,3
608,1094,4
873,1333,6
1261,460,5
2397,1027,4
1078,2473,8
723,2565,2
2106,1106,8
2072,1371,8
998,426,3
591,1715,10
591,2720,4
591,2245,1
2079,1346,1
1746,745,2
1920,2133,9
1469,2295,5
1979,2337,8
2109,1404,10
871,2719,3
2227,425,3
6,1949,4
573,792,4
568,1281,4
1061,1367,4
1330,2163,8
1289,963,6
591,1986,10
591,630,2
2432,1386,2
662,1391,1
591,403,5
23,1391,9
2238,564,3
2450,2444,4
1530,1082,8
591,2276,9
148,840,6
784,2337,9
339,689,9
239,908,6
2397,2002,5
2365,21,7
1584,2531,8
1182,1082,5
2225,2371,2
591,660,7
591,2371,1
591,1082,10
1716,738,5
608,777,8
591,692,1
591,1632,2
591,2212,9
591,1082,6
591,1391,2
591,1391,2
1001,1281,6
591,1412,7
591,689,9
457,792,10
591,2595,10
591,2491,1
591,680,10
591,2605,10
87,2299,5
856,2647,5
608,2337,3
608,1125,1
591,2443,10
611,2590,1
1536,214,5
1712,2337,3
591,460,4
15,1986,6
2414,646,2
591,228,2
1068,2236,10
591,1082,7
591,1006,7
2520,1082,7
1889,1523,8
998,2268,8
591,2500,3
591,2113,3
1635,192,4
591,1986,2
239,792,10
2296,1129,8
2461,1333,4
591,870,6
591,1230,8
1850,816,4
1314,2337,5
608,1216,8
2106,1298,7
580,1674,10
239,14,2
591,2083,5
428,1050,6
2227,1882,1
591,2319,4
591,2371,7
535,1238,6
608,1082,3
591,1391,6
591,697,4
315,21,7
671,1074,8
1073,1257,5
2267,1395,4
500,2419,2
1940,1391,6
580,2484,8
591,1082,9
591,803,4
591,1772,1
591,870,3
591,480,3
591,944,4
1840,2526,4
595,568,6
591,2268,9
308,1346,10
591,1391,4
410,1281,9
591,460,8
219,1391,9
591,792,3
591,1657,8
1895,2295,2
591,771,4
591,549,1
591,2436,9
591,1657,9
960,1478,9
2303,667,6
2106,1743,6
423,581,10
1068,1986,1
591,1513,3
2227,2354,8
1133,1393,6
446,792,4
2440,325,10
591,1186,4
239,1391,1
2133,1391,2
591,660,3
2227,1986,2
239,228,8
591,1484,4
1526,1391,9
591,2091,4
1580,1082,8
1723,319,10
591,2371,5
591,2447,5
591,1391,3
965,2473,3
591,214,5
608,21,7
239,347,9
2106,772,10
2187,1082,4
591,1082,3
2311,426,9
591,2305,9
1307,803,10
591,1391,5
534,1391,6
608,1074,7
591,2371,5
591,2445,1
267,326,4
835,25,10
1540,1391,7
608,1082,3
591,1040,4
2511,661,3
992,368,10
608,417,5
591,816,1
608,608,8
138,1082,5
591,1840,4
608,418,4
914,2212,8
591,1391,1
591,2236,4
608,1281,5
1845,2661,8
207,2346,6
591,2171,10
1540,349,7
591,792,10
591,1082,6
446,317,9
444,215,8
608,2371,1
591,2219,2
591,2399,7
591,2500,1
2325,1082,5
239,636,10
608,1436,4
998,2232,5
591,2636,4
2227,1508,4
1483,1508,4
1440,1391,7
754,792,5
591,2661,10
591,1868,3
591,1082,8
1830,12,7
608,310,1
591,1076,8
1060,792,3
591,912,10
2350,1082,3
383,1391,4
591,1289,7
2190,1391,2
873,1391,1
1170,2068,4
1619,2075,7
591,1346,6
591,2559,2
591,1391,5
2312,2337,4
2227,1645,6
715,1082,8
591,1330,10
608,501,2
2023,390,1
1251,206,4
591,2043,3
1721,2295,7
795,1391,6
973,2295,8
2318,1211,7
2109,147,4
608,2528,6
2399,1391,4
591,1742,2
953,2262,7
926,1391,2
608,2687,9
1656,1082,9
591,588,10
608,1082,6
1540,1358,5
591,870,8
591,1281,2
591,660,5
591,2337,6
939,2346,8
591,149,5
591,1082,7
647,1609,3
2068,489,1
1142,976,6
1540,2371,5
2129,2346,10
591,1082,5
2106,2043,6
591,1346,5
2109,1082,4
591,240,7
591,2488,5
1432,2166,7
324,2565,2
591,214,6
2097,792,4
239,2268,7
608,1082,5
591,1391,10
1330,2371,9
608,1439,8
608,2657,6
939,1082,7
239,1281,10
608,196,10
591,8,8
591,2295,7
288,1791,10
591,870,7
591,300,7
2227,816,4
2261,2666,10
608,2616,1
591,480,1
218,2212,7
591,2371,9
2397,2268,4
591,2371,3
608,1668,3
1266,1391,8
608,2115,1
591,1082,9
1704,1946,3
608,2192,1
2106,2048,5
886,287,3
1330,1361,2
2495,1391,4
2361,300,2
591,1281,2
2023,2518,9
591,1391,4
591,678,4
591,1391,4
461,1508,5
2397,1969,1
2106,2315,3
882,1478,6
239,2371,2
2197,549,10
2106,1371,4
873,936,5
2068,2045,5
2227,689,2
239,21,2
1975,689,4
608,660,9
1414,366,7
591,870,3
2106,1772,10
1193,1360,1
2106,1084,2
2520,660,7
873,637,1
1940,2565,9
2397,2433,3
1393,2130,1
1498,1715,10
591,2066,4
608,876,8
591,689,6
591,1077,2
591,1415,1
591,2285,5
608,1371,10
1159,115,8
591,2649,6
1428,1715,3
239,1468,8
591,2371,1
901,480,5
2023,169,2
591,1391,7
591,1508,6
2397,1969,7
591,1772,2
662,894,5
1498,1868,8
608,1082,3
580,2386,7
591,1082,9
293,1650,9
591,145,9
2227,1391,5
608,2021,10
2227,884,2
591,2132,3
1769,240,9
2311,2661,7
934,1082,9
591,2425,1
591,1281,3
591,1195,10
591,745,2
784,1082,2
591,1657,5
1929,2371,3
591,1441,9
51,2371,3
591,689,2
591,792,1
615,1795,10
682,741,1
1838,1920,4
591,301,7
591,368,5
591,1489,2
608,2553,1
591,2371,9
591,2473,2
608,2086,8
591,752,4
196,2371,4
2068,2565,2
1732,792,9
239,538,4
591,1082,1
738,1391,10
2343,1381,3
591,2016,7
591,1333,8
591,660,8
1672,1082,5
608,2625,2
1701,2580,10
1581,1391,9
33,460,4
591,908,9
2282,480,6
608,761,8
2178,1715,2
483,1391,5
591,2268,5
591,1265,9
1071,214,8
591,21,9
1348,2415,1
591,2346,2
608,660,4
1522,1281,10
879,660,7
2108,684,8
591,2494,5
591,2219,6
608,2337,6
591,1371,5
1393,324,6
2379,1391,6
2303,826,1
1940,1743,2
591,2091,5
591,2500,8
1528,1014,5
1723,107,6
676,1250,3
2397,2482,2
591,2590,3
608,1082,9
591,480,10
591,816,6
131,689,6
1960,803,10
1540,2522,7
605,1250,7
1913,2606,10
2053,2268,9
591,870,9
2227,2295,2
229,1840,1
1988,2469,10
591,2169,2
591,1391,2
591,1082,10
608,2115,6
1891,1856,1
608,792,10
591,1391,10
591,1508,2
1251,993,7
815,1391,8
2081,457,8
239,1606,3
591,1082,5
591,1371,5
591,2518,1
591,2028,7
608,816,8
591,792,7
591,1948,10
591,401,3
200,458,2
1940,2034,8
2106,240,5
1655,1775,9
591,186,10
1292,81,10
56,591,10
739,2268,1
1406,1082,7
2131,572,7
608,841,8
608,1391,2
633,1391,7
973,1391,3
608,1632,7
591,480,5
591,2337,2
591,1082,5
591,792,9
591,1121,2
591,1702,10
2108,2371,8
1659,2053,7
132,816,9
2031,2268,3
1854,1391,5
1747,1391,4
2199,870,4
591,1371,9
2106,96,4
591,1184,1
2430,1391,4
239,1371,4
315,1082,4
1473,322,4
1561,1391,3
591,2461,3
591,1391,7
216,1391,1
591,1435,5
935,2295,2
1448,1082,1
591,493,7
1443,1391,9
2068,1653,3
538,1346,9
591,910,1
2417,2442,7
631,2286,3
608,2029,1
591,792,6
1903,2268,3
2106,2549,8
1288,2573,9
591,1694,10
1742,2098,5
591,572,9
591,660,10
1983,2620,6
2141,1076,1
1999,742,8
2324,1082,9
1215,764,8
1330,1399,3
591,2259,1
591,2503,7
1673,2473,4
591,1293,1
591,2500,8
591,792,9
873,1391,9
591,1842,8
591,771,5
2106,1082,9
507,1732,6
591,1082,10
2430,792,6
608,1391,2
1723,418,7
591,2054,6
465,1082,8
591,2518,8
1675,1355,9
1648,323,1
608,1826,4
568,1508,3
239,1391,3
2337,2360,6
608,1346,3
591,1715,9
591,1391,7
618,417,7
591,145,9
591,901,9
295,2561,6
777,2304,6
456,1986,8
591,2337,10
749,2246,9
934,1391,1
1398,2086,10
1747,2268,9
591,660,8
1568,1049,3
591,31,6
1607,870,9
1438,2268,1
2106,1508,7
1491,1702,9
960,832,7
863,2543,10
2397,1464,1
1257,601,2
591,1211,2
591,2543,7
1536,2712,3
591,426,10
608,660,7
2106,1178,6
2111,2371,4
591,2500,3
1397,2682,7
591,1392,4
1290,432,3
591,358,3
591,327,1
2419,2169,3
448,2563,4
1603,2367,5
1498,1986,10
2389,1036,10
591,816,7
779,1874,3
591,253,7
591,1185,7
591,2371,1
1773,2565,2
1540,2565,10
1704,480,10
591,2576,9
2227,816,3
2177,1980,7
2106,1195,10
608,1391,9
591,1391,6
1788,300,8
580,1391,8
2455,1391,8
591,1082,2
591,1868,1
1956,1391,9
591,1074,9
2106,2371,10
331,460,7
591,1423,3
1747,1391,1
591,2014,7
591,660,2
265,583,2
608,856,8
591,1082,8
2397,2337,4
608,2337,6
873,117,6
1774,815,1
591,2169,10
591,485,10
591,2128,6
158,1471,1
591,480,3
591,1880,3
591,1069,5
1330,17,5
591,1598,6
591,1391,10
591,298,7
392,2172,3
1895,300,7
608,1076,9
591,876,5
978,1391,5
1540,111,1
2289,1082,4
239,1980,5
2233,870,1
608,1082,3
608,2590,3
591,1014,5
591,1471,5
1428,1391,10
591,2268,8
1497,792,9
591,1075,10
591,1082,1
1965,1082,3
591,2268,8
2227,1010,6
591,113,1
239,91,8
1460,2274,5
1696,2436,3
1473,1772,1
43,792,6
591,1391,5
591,91,7
1603,2337,1
591,2565,2
1540,1333,4
1494,2371,2
2092,2169,6
2490,2268,5
1540,324,6
591,1082,9
591,1950,8
591,2122,6
591,1313,10
591,1830,2
1533,1371,9
591,2425,8
591,1468,2
591,2055,10
189,2573,3
2023,2681,5
2451,1391,3
591,573,8
353,2618,7
1926,2661,9
370,1082,9
2106,969,3
608,727,9
591,1063,10
591,1281,1
608,460,10
608,1082,4
591,2044,2
1310,2337,4
2171,78,5
2227,493,2
1141,1281,8
282,1391,2
591,1391,8
1675,364,5
2141,1198,9
2227,603,4
591,417,4
999,2371,9
591,1082,4
1763,2132,7
1568,2236,3
591,1081,10
1774,1281,7
591,2505,2
2090,1391,8
263,792,10
1881,2337,10
2227,480,1
567,1082,1
591,2371,5
591,1174,7
274,1391,3
591,2371,10
2106,1391,6
591,1391,2
2106,1082,6
591,2191,9
591,2371,10
315,2598,2
284,1114,9
591,2031,9
608,1883,6
591,2386,7
608,1137,6
591,1371,9
854,1391,4
591,1218,1
753,2169,2
591,912,4
608,1970,3
2343,2236,10
591,2146,2
485,1772,6
2080,1082,4
253,1508,7
1843,1391,6
2478,816,10
556,2666,4
591,792,1
591,588,7
991,1391,7
591,1371,4
315,220,1
591,2442,9
978,2279,5
591,1391,3
591,2042,10
591,1370,2
591,1082,6
1540,480,6
1193,43,7
2090,1391,8
591,151,8
1540,816,1
1707,2068,1
1895,1391,3
591,1082,10
2397,816,2
239,1391,6
591,338,7
239,905,1
591,2270,4
1528,349,6
591,869,6
1292,480,8
591,2088,8
591,1625,3
591,1391,6
1784,299,9
591,1064,4
2115,1082,6
2261,668,7
591,2079,4
591,2337,8
591,2460,5
791,1799,5
306,2457,10
1432,1082,10
608,2169,6
591,467,2
2098,2573,1
591,1346,4
2346,208,7
591,912,5
591,377,6
736,2315,10
608,975,7
591,2384,1
194,2268,6
1107,180,6
591,2371,3
2397,1082,5
2227,1082,6
2314,1391,2
525,898,5
2480,1391,1
591,1391,8
725,1164,6
239,2543,1
591,2132,5
141,1732,1
2212,642,3
591,1082,2
1655,1281,6
2119,1391,7
1287,1298,10
34,816,1
2052,1399,1
1540,1082,7
2238,448,3
591,789,9
591,1082,8
57,410,4
591,1428,9
591,1281,7
591,2309,1
591,1076,2
591,781,9
591,792,10
239,513,7
591,1770,4
1177,1987,10
1971,1391,6
591,803,6
701,2414,1
608,1337,3
1521,485,3
49,2277,8
608,2219,7
2108,1391,4
1319,1010,5
608,792,7
1940,1391,5
591,214,7
2303,1909,3
608,191,4
2106,417,8
591,1644,7
591,1228,5
1686,480,3
591,2371,1
239,2638,8
1655,1010,6
591,2590,4
284,1391,2
608,21,10
2106,650,8
591,2661,9
608,1138,10
2361,214,8
960,837,7
591,1082,9
2224,870,6
2020,1391,5
2239,426,9
1076,2268,6
2111,1082,3
2303,1686,1
824,660,8
591,2434,9
591,457,10
2397,1391,2
591,1959,7
608,2711,4
608,1391,3
955,1742,2
239,1281,6
591,1391,2
591,2342,5
1461,1082,7
608,1391,7
2106,1921,9
1014,1391,5
608,1196,7
591,1391,3
591,792,4
591,1082,8
608,325,9
591,1391,2
591,2419,3
2227,2567,3
591,1391,3
2106,475,2
608,792,6
1789,1980,8
591,1391,1
1650,792,1
591,792,1
2453,1250,9
591,816,2
2106,792,3
608,2537,5
504,2320,4
591,2565,3
1557,1772,2
608,214,8
591,1082,7
1121,1424,1
591,2573,8
591,1391,1
591,300,4
863,2669,3
424,2518,2
591,1082,6
591,2371,8
949,876,5
428,2550,8
2227,1391,9
608,1928,1
608,374,8
534,2442,2
591,792,6
92,2632,8
591,1391,6
591,1391,10
648,1715,5
608,1508,9
591,660,7
2261,1391,9
591,745,9
591,1478,6
1669,1391,10
428,2371,10
1418,1610,1
608,1391,4
2327,460,5
1201,792,2
519,1130,4
591,850,3
89,745,10
1528,2502,9
591,515,8
1473,300,7
1283,1627,5
1603,1391,6
608,1281,6
591,2371,4
1295,1769,10
591,2641,7
2397,2286,10
2496,2023,2
2520,2179,5
315,1358,1
580,1391,10
589,1980,3
529,1346,7
1555,657,8
591,972,9
239,2634,4
608,2128,1
591,1391,6
591,2371,5
608,2499,6
591,816,4
239,2268,1
608,482,7
1675,1082,10
2227,2478,8
591,2371,2
591,1554,8
1540,1281,9
2090,480,2
608,1391,8
686,1733,3
2430,1598,7
1853,816,10
2419,1391,3
591,995,5
591,1346,4
2234,1391,3
608,1346,6
1900,884,7
239,1082,4
591,2548,2
1155,1391,1
239,2091,3
2018,2371,10
315,1412,4
591,214,5
2106,2549,4
591,2459,3
591,1986,3
239,1392,6
1916,2371,9
591,202,9
608,179,3
591,2565,9
591,480,6
1088,1082,1
591,1076,10
906,1281,4
1828,1082,3
591,1391,6
591,2476,7
591,1815,3
591,257,4
2443,1986,4
239,2565,7
2227,1760,7
2261,792,3
591,1899,2
591,2394,3
520,1009,7
591,1484,8
2060,979,5
591,2371,5
591,1195,5
101,1391,5
591,2590,1
591,1391,5
119,2401,6
591,566,6
608,1391,3
257,299,5
591,1391,8
192,2371,1
591,1391,2
591,792,4
591,1632,3
591,768,7
591,1904,9
608,660,5
1432,2212,6
591,1391,2
873,1553,3
1540,2419,1
239,1333,2
591,2371,9
408,2565,3
2159,2371,2
842,816,4
959,2371,5
591,1346,7
591,1611,2
973,2148,2
608,418,1
591,480,7
608,1675,10
591,1082,8
239,1106,10
134,672,1
591,1082,2
591,1969,9
960,240,4
591,738,6
252,1082,6
873,438,5
591,1082,8
1815,1082,7
591,2420,9
591,2308,2
591,2286,10
2014,1391,9
591,2268,8
2397,660,2
923,1155,4
2097,1391,5
591,1082,3
2144,2371,10
591,2315,8
239,2268,1
1675,2236,1
2231,1391,5
2226,912,1
591,759,6
784,1082,5
2437,64,3
1292,1715,10
591,300,3
1675,214,5
315,1082,3
912,1082,3
608,1082,3
2106,1281,3
591,1082,7
608,454,4
2111,1418,10
1124,876,10
591,1153,10
608,872,5
2153,2229,8
591,1645,5
591,1935,5
591,2488,6
203,1391,4
608,2371,5
1172,2384,6
591,1179,2
591,1346,1
591,429,9
1275,503,6
591,1508,7
1911,1632,8
608,2680,3
2227,814,5
591,1750,4
591,1082,1
2263,2419,3
591,279,3
591,1082,2
608,355,5
2225,280,10
608,2483,7
1340,2371,10
239,2031,4
591,1391,2
591,1082,7
2175,2573,7
591,2371,10
2374,2268,6
608,1391,4
978,2371,5
608,1096,10
608,480,1
1331,2236,4
591,1391,8
608,214,3
873,1777,3
859,335,4
591,2661,8
2227,480,1
239,2132,9
591,450,4
2227,1281,5
591,426,9
591,1702,8
2303,2428,4
591,2442,1
315,1060,1
591,912,7
591,792,5
591,741,9
2391,1082,4
591,1082,8
591,1772,6
1718,2002,7
1123,21,3
591,1743,7
591,2694,2
2397,1391,6
2397,660,6
75,2261,7
2303,509,10
591,1346,1
591,2145,6
2397,325,10
608,1078,4
2227,1074,2
2192,964,9
1769,1298,2
591,399,2
591,1391,1
2397,214,3
591,1391,9
591,2068,5
591,816,7
912,734,10
1367,1986,7
591,792,4
2111,660,1
608,2543,5
591,2337,5
591,480,7
1393,2371,9
1940,480,4
591,1391,1
239,1082,3
591,1532,3
591,1761,2
591,1123,8
1713,1782,8
1283,870,7
591,1107,6
591,884,3
2227,1391,2
591,1877,3
873,1333,10
591,373,2
873,2337,10
608,214,4
591,349,6
1013,1391,9
2097,1980,3
591,1125,7
591,803,9
591,660,9
591,2219,6
608,2333,4
591,1014,1
591,1715,6
591,1391,1
873,1081,8
1643,660,2
591,2537,8
591,2128,8
2227,2268,10
2397,803,4
473,417,10
591,2337,7
591,2268,9
591,1377,7
402,944,8
2108,561,1
591,2439,2
608,2371,10
591,1856,5
239,2419,7
591,2114,9
591,1811,5
591,2371,2
2397,1082,5
591,1391,6
460,1082,8
591,214,8
263,2328,4
719,1741,2
390,417,3
2312,1468,3
